Waiting for data. Press Ctrl+C to end.
Source  Event                  Ch  Data
  0:1   Port subscribed            129:0 -> 128:0
129:0   Control change          0, controller 0, value 0
129:0   Program change          0, program 68
129:0   Control change          0, controller 10, value 27
129:0   Control change          0, controller 91, value 70
129:0   Control change          0, controller 93, value 0
129:0   Control change          1, controller 0, value 0
129:0   Program change          1, program 57
129:0   Control change          1, controller 10, value 99
129:0   Control change          1, controller 91, value 127
129:0   Control change          1, controller 93, value 127
129:0   Control change          1, controller 0, value 0
129:0   Program change          1, program 57
129:0   Control change          1, controller 10, value 99
129:0   Control change          1, controller 91, value 127
129:0   Control change          1, controller 93, value 127
129:0   Control change          2, controller 0, value 0
129:0   Program change          2, program 60
129:0   Control change          2, controller 10, value 63
129:0   Control change          2, controller 91, value 127
129:0   Control change          2, controller 93, value 127
129:0   Control change          3, controller 0, value 0
129:0   Program change          3, program 58
129:0   Control change          3, controller 10, value 75
129:0   Control change          3, controller 91, value 127
129:0   Control change          3, controller 93, value 127
129:0   Control change          2, controller 0, value 0
129:0   Program change          2, program 60
129:0   Control change          2, controller 10, value 63
129:0   Control change          2, controller 91, value 127
129:0   Control change          2, controller 93, value 127
129:0   Control change          3, controller 0, value 0
129:0   Program change          3, program 58
129:0   Control change          3, controller 10, value 75
129:0   Control change          3, controller 91, value 127
129:0   Control change          3, controller 93, value 127
129:0   Control change          4, controller 0, value 0
129:0   Program change          4, program 9
129:0   Control change          4, controller 91, value 127
129:0   Control change          4, controller 93, value 127
129:0   Control change          5, controller 0, value 0
129:0   Program change          5, program 20
129:0   Control change          5, controller 91, value 47
129:0   Control change          5, controller 93, value 51
129:0   Control change          6, controller 0, value 0
129:0   Program change          6, program 48
129:0   Control change          6, controller 10, value 42
129:0   Control change          6, controller 91, value 95
129:0   Control change          6, controller 93, value 127
129:0   Control change          1, controller 0, value 0
129:0   Program change          1, program 57
129:0   Control change          1, controller 10, value 99
129:0   Control change          1, controller 91, value 127
129:0   Control change          1, controller 93, value 127
129:0   Control change          5, controller 0, value 0
129:0   Program change          5, program 20
129:0   Control change          5, controller 91, value 47
129:0   Control change          5, controller 93, value 51
129:0   Control change          7, controller 0, value 0
129:0   Program change          7, program 47
129:0   Control change          7, controller 91, value 127
129:0   Control change          7, controller 93, value 127
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 21
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                0, note 80, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 64
129:0   Note on                 1, note 29, velocity 110
129:0   Note on                 2, note 29, velocity 106
129:0   Note on                 3, note 29, velocity 110
129:0   Note off                1, note 29, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note off                2, note 29, velocity 106
129:0   Note on                 2, note 30, velocity 106
129:0   Note off                3, note 29, velocity 110
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 0, note 82, velocity 88
129:0   Note off                0, note 82, velocity 21
129:0   Note on                 0, note 84, velocity 88
129:0   Note off                0, note 84, velocity 21
129:0   Note on                 0, note 80, velocity 88
129:0   Note off                0, note 80, velocity 21
129:0   Note on                 0, note 68, velocity 88
129:0   Note off                0, note 68, velocity 21
129:0   Note on                 0, note 75, velocity 88
129:0   Note off                0, note 75, velocity 64
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
129:0   Note off                2, note 30, velocity 106
129:0   Note off                3, note 30, velocity 110
129:0   Note on                 1, note 30, velocity 110
129:0   Note on                 2, note 30, velocity 106
129:0   Note on                 3, note 30, velocity 110
129:0   Note off                1, note 30, velocity 110
